properties.id,properties.name,properties.proposer,properties.status.id,properties.status.name,properties.district,properties.year,properties.budget,properties.detail,properties.category.name,properties.image,latitude,longitude,category_category,category.status,ObjectId,x,y
1697,HŘIŠTĚ NA NOHEC ,Josef  Hron,15,nevítězný,Brno - Tuřany,2021,3000000,https://paro.damenavas.cz/projekt/?id=1697,Sport,https://paro.damenavas.cz/wp-content/uploads/2021/05/Fotbalove_centrum_Brno_Dame_na_vas-2-300x278.jpg,49.151403931003,16.6511374443329,failed,"Sport, failed",282,1853596.14143195,6300590.62959772
1698,"Letní kino, grilování, zábava ve Slatině",Klára Šikulová,15,nevítězný,Brno - Slatina,2021,3000000,https://paro.damenavas.cz/projekt/?id=1698,Zábava,https://paro.damenavas.cz/wp-content/uploads/2021/05/letni_kina_cr_ac-300x200.jpg,49.182696288705,16.6825724737935,failed,"Zábava, failed",283,1857095.47290457,6305918.1793654
1700,Oprava památek v Líšni,Michal Chaloupka,15,nevítězný,Brno - Líšeň,2021,2500000,https://paro.damenavas.cz/projekt/?id=1700,Kultura,https://paro.damenavas.cz/wp-content/uploads/2021/05/rsz_11bez_názvu-225x300.jpg,49.202171992392,16.6873671069631,failed,"Kultura, failed",284,1857629.20902756,6309235.634993
1701,Ovocný sad v rokli,Kateřina  Kolesová,15,nevítězný,Brno - Líšeň,2021,430000,https://paro.damenavas.cz/projekt/?id=1701,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2021/05/IMG-20210505-WA0010-300x146.jpg,49.208394292252,16.6802649100719,failed,"Zeleň, failed",285,1856838.59608611,6310295.80550659
1702,Wilsonův les - křížová cesta,Jan TARABA,15,nevítězný,Brno - Žabovřesky,2021,547000,https://paro.damenavas.cz/projekt/?id=1702,Kultura,https://paro.damenavas.cz/wp-content/uploads/2021/05/Mapka-300x215.jpg,49.205553555125,16.5785029051843,failed,"Kultura, failed",286,1845510.50151992,6309811.77728758
1703, Oprava účelové komunikace NN 163.,Jiří Vlk,14,nezískal podporu,Brno - Řečkovice A Mokrá Hora,2021,110000,https://paro.damenavas.cz/projekt/?id=1703,Doprava,https://paro.damenavas.cz/wp-content/uploads/2021/05/Pokračování-mezi-zahradami5-300x200.jpg,49.264288497439,16.5816922673934,failed,"Doprava, failed",287,1845865.53969699,6319825.18377175
1707,Amfiteátr na pryglu,Tomáš Kratochvíl,15,nevítězný,Brno - Bystrc,2021,3000000,https://paro.damenavas.cz/projekt/?id=1707,Kultura,https://paro.damenavas.cz/wp-content/uploads/2021/05/Výstřižek-300x182.png,49.228723176013,16.5130204609043,failed,"Kultura, failed",288,1838221.02916677,6313760.42027014
1709,Obnova sochy lovec sobů u Anthroposu,Ladislav Hráček,14,nezískal podporu,Brno - Střed,2021,360000,https://paro.damenavas.cz/projekt/?id=1709,Kultura,https://paro.damenavas.cz/wp-content/uploads/2021/05/projekt_socha_1-pdf-300x169.jpg,49.193364452573,16.5671040492813,failed,"Kultura, failed",289,1844241.58668518,6307735.21305327
1710,Hvězda Brna,Miloslav Novák,14,nezískal podporu,Brno,2021,90000,https://paro.damenavas.cz/projekt/?id=1710,Sport,https://paro.damenavas.cz/wp-content/themes/vega/assets/img/category-icon/sport.svg,49.19498,16.608303,failed,"Sport, failed",290,1848827.8329004,6308010.41210166
1711,WORKOUTOVÉ HŘIŠTĚ NEJEN PRO JEHNIČÁKY,Pavlína Puklová,6,neproveditelný,Brno - Jehnice,2021,686000,https://paro.damenavas.cz/projekt/?id=1711,Sport,https://paro.damenavas.cz/wp-content/uploads/2021/05/IMG_3636-300x225.jpeg,49.271279587767,16.6025581929032,failed,"Sport, failed",291,1848188.32389968,6321017.85089973
