properties.id;properties.name;properties.proposer;properties.status.id;properties.status.name;properties.district;properties.year;properties.budget;properties.detail;properties.category.name;properties.image;latitude;longitude;category_category;category.status;ObjectId;x;y
2297;Pumptrack a parkour v KrPoli;Filip Přidal;5;proveditelný;Brno - Královo Pole;2024;5000000;https://paro.damenavas.cz/projekt/?id=2297;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/03/pumptrackparkour-2-300x289.png;49,22764967;16,58279579;got approval;Sport, got approval;980;1845988,383;6313577,43
2301;Bezpečná stezka i pro chodce a běžce;Jan Drábek;6;neproveditelný;Brno - Jih;2024;3150000;https://paro.damenavas.cz/projekt/?id=2301;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/03/Screenshot-2024-03-28-at-11.23.38-300x139.png;49,14780667;16,62808589;failed;Sport, failed;981;1851030,054;6299978,408
2303;Mlžítka;Petr Ryšavý;5;proveditelný;Brno;2024;3600000;https://paro.damenavas.cz/projekt/?id=2303;Zeleň;https://paro.damenavas.cz/wp-content/uploads/2024/07/20240625_135719-300x255.jpg;49,19498;16,608303;got approval;Zeleň, got approval;982;1848827,833;6308010,412
2305;Oprava silnice v Holáskách;Lukáš Janků;6;neproveditelný;Brno - Tuřany;2024;1150000;https://paro.damenavas.cz/projekt/?id=2305;Doprava;https://paro.damenavas.cz/wp-content/uploads/2024/03/Screenshot_20240331_161946-300x151.png;49,14400009;16,65001046;failed;Doprava, failed;983;1853470,686;6299330,612
2313;Galerie Czech;Dan Kalousek;5;proveditelný;Brno - Maloměřice A Obřany;2024;5000000;https://paro.damenavas.cz/projekt/?id=2313;Kultura;https://paro.damenavas.cz/wp-content/uploads/2024/05/Kaplicka_04-DEN_full_03-225x300.jpg;49,2215843;16,64436303;got approval;Kultura, got approval;984;1852842,017;6312543,593
2316;Rodinná zahrada pro Brno;Zuzana Řezáčová Lukášková;5;proveditelný;Brno;2024;4999999;https://paro.damenavas.cz/projekt/?id=2316;Zeleň;https://paro.damenavas.cz/wp-content/uploads/2024/05/eddd7633-253a-4402-915d-b3ea187b5f68-300x300.jpg;49,19498;16,608303;got approval;Zeleň, got approval;985;1848827,833;6308010,412
2317;Svratecká: Zúžená cyklostezka je strašná;Lukáš Janků;13;stažen;Brno - Komín;2024;290000;https://paro.damenavas.cz/projekt/?id=2317;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/04/Screenshot_20240408_103235-300x161.png;49,21686085;16,55348227;failed;Sport, failed;986;1842725,217;6311738,573
2318;Stínové a inkluzivní hřiště;Zuzana Černá;5;proveditelný;Brno - Střed;2024;5000000;https://paro.damenavas.cz/projekt/?id=2318;Děti;https://paro.damenavas.cz/wp-content/uploads/2024/04/stínové-a-inkluzivní-hřiště-3-300x150.png;49,18453235;16,60380124;got approval;Děti, got approval;987;1848326,7;6306230,875
2323;Kolobko-park mezi Vinohrady a Líšní;Petr Buršík;13;stažen;Brno - Vinohrady;2024;5000000;https://paro.damenavas.cz/projekt/?id=2323;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/04/hulajnoga-wyczynowa-1-300x200.jpg;49,20264147;16,66311523;failed;Sport, failed;988;1854929,502;6309315,62
2326;Obnova tradic Brněnska;Jiří Murtinger;5;proveditelný;Brno;2024;4980000;https://paro.damenavas.cz/projekt/?id=2326;Kultura;https://paro.damenavas.cz/wp-content/uploads/2024/04/123452-300x300.jpg;49,19498;16,608303;got approval;Kultura, got approval;989;1848827,833;6308010,412
2331;Volejbalová hřiště pro Žebětín a Bystrc;Dalibor Michalec;6;neproveditelný;Brno - Žebětín;2024;4980000;https://paro.damenavas.cz/projekt/?id=2331;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/05/20200826_103350-300x169.jpg;49,20596715;16,49508527;failed;Sport, failed;990;1836224,493;6309882,247
2333;Rekonstrukce volejbalového hřiště;Petr Maliňák;5;proveditelný;Brno - Komín;2024;4740000;https://paro.damenavas.cz/projekt/?id=2333;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/04/20240228_123633-kopie-300x225.jpg;49,22599597;16,55913734;got approval;Sport, got approval;991;1843354,736;6313295,544
2337;Podpora mladých opouštějících dětský domov;Markéta Strážnická;5;proveditelný;Brno;2024;4500000;https://paro.damenavas.cz/projekt/?id=2337;Jiné;https://paro.damenavas.cz/wp-content/themes/vega/assets/img/category-icon/jine.svg;49,19498;16,608303;got approval;Jiné, got approval;992;1848827,833;6308010,412
2338;Odpočinkové lavičky – Brno-Vinohrady 3;Luděk Hodboď;5;proveditelný;Brno - Vinohrady;2024;1580000;https://paro.damenavas.cz/projekt/?id=2338;Senioři;https://paro.damenavas.cz/wp-content/uploads/2024/04/Novy_chodnik_u_Alberta_2-scaled-1-225x300.jpg;49,20778554;16,66142587;got approval;Senioři, got approval;993;1854741,444;6310192,08
